"0.000","Info","2020-08-03 17:28:45","Service 'cocc_96' : Execution start"
"0.000","Info","Apparatus","Zantiks AD internal Unit"
"0.000","Info","Unit ID","3C208A"
"TIME","TEMPERATURE","VARIABLE","TREATMENT","SERIES","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","ARENA_ACTIVITY","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"2131.093",,"ARENA_DISTANCES","DARK",35,0,0,0,0,7,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2191.118",,"ARENA_DISTANCES","DARK",36,0,0,0,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2251.138",,"ARENA_DISTANCES","DARK",37,0,0,0,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2311.159",,"ARENA_DISTANCES","DARK",38,0,0,0,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2371.178",,"ARENA_DISTANCES","DARK",39,0,0,0,0,0,86,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2431.205",,"ARENA_DISTANCES","DARK",40,0,0,0,0,0,266,0,0,142,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2491.225",,"ARENA_DISTANCES","DARK",41,0,0,0,59,0,0,0,0,134,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,11.282547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2551.248",,"ARENA_DISTANCES","DARK",42,0,0,0,91,0,0,0,378,80,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,11.053116,0.000000,0.000000,0.000000,0.009323,0.000000,0.000000,0.000000,0.000000
"2611.265",,"ARENA_DISTANCES","DARK",43,0,0,0,407,0,0,0,219,263,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000320,0.000854,0.000000,0.000000,0.000000
"2671.293",,"ARENA_DISTANCES","DARK",44,0,0,0,349,0,0,0,357,256,0,0,102,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,9.270706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000427
"2731.312",,"ARENA_DISTANCES","DARK",45,0,0,0,400,0,0,0,516,325,0,0,33,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000214,0.000000,0.003052,0.000000,0.001190,0.000366,0.000000,0.000000,0.000015
"2791.334",,"ARENA_DISTANCES","DARK",46,0,0,0,217,0,0,0,86,53,0,0,6,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.013519,0.000015,0.000000,0.000000,0.000000
"2851.351",,"ARENA_DISTANCES","DARK",47,0,0,0,629,0,0,0,396,663,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.027496,0.019241,0.000000,0.000000,0.000000
"2911.374",,"ARENA_DISTANCES","DARK",48,0,34,0,305,0,18,0,608,339,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.008408,0.000000,0.000000,0.000000,37.305420,0.000000,0.000000,0.000000,0.000000
"2971.398",,"ARENA_DISTANCES","DARK",49,0,746,0,620,0,0,0,994,183,0,0,0,"ARENA_ACTIVITY",0.000000,0.005753,0.000000,0.000092,0.000000,0.000000,0.000000,0.014023,0.000000,0.000000,0.000000,0.000000
"3031.416",,"ARENA_DISTANCES","DARK",50,0,566,0,323,0,0,0,1076,240,0,0,0,"ARENA_ACTIVITY",0.000000,0.000534,0.000000,0.000076,0.000000,0.000000,0.000000,0.021362,0.000305,0.000000,0.000000,0.000000
"3091.442",,"ARENA_DISTANCES","DARK",51,0,482,0,320,0,0,0,969,564,0,0,0,"ARENA_ACTIVITY",0.000000,0.002716,0.000000,1.611603,0.000000,0.000000,0.000000,0.039337,0.000839,0.000000,0.000000,0.000000
"3151.460",,"ARENA_DISTANCES","DARK",52,0,443,0,252,0,0,0,683,382,0,0,0,"ARENA_ACTIVITY",0.000000,0.000153,0.000000,0.004150,0.000000,0.000000,0.000000,0.014053,0.000000,0.000000,0.000000,0.000000
"3211.483",,"ARENA_DISTANCES","DARK",53,0,534,0,197,0,0,0,593,248,0,0,130,"ARENA_ACTIVITY",0.000000,0.007263,0.000000,5.440872,0.000000,0.000000,0.000000,0.000732,0.000000,0.000000,0.000000,0.018433
